artist,song_name,album_name,track_position,row_type,release_category,edition_type,version_type,release_date,label,era,genre,chart_position,awards,spotify_url,youtube_url,duration_seconds,alternative_names,source_release_id,work_id,version_id,notes
Parliament,Come In Out Of The Rain,Osmium…plus,13/17,track,reissue,bonus_track,same_master,1970-07,Invictus,Classic P-Funk (1970–1981),"Funk, Soul, P-Funk, Proto-Funk",,,https://open.spotify.com/track/1sT6y1bm7SwDENl0pSFbNA,,177,,,wrk_310217c941ab,ver_d4a7e8bbf310,Bonus track from expanded edition
Parliament,Loose Booty,Osmium…plus,14/17,track,reissue,bonus_track,same_master,1970-07,Invictus,Classic P-Funk (1970–1981),"Funk, Soul, P-Funk, Proto-Funk",,,https://open.spotify.com/track/1v6uo24d9mcDLO7wahT3yt,,,,,wrk_774e18c885e2,ver_f3c147400414,Bonus track from expanded edition
Parliament,Fantasy Is Reality,Osmium…plus,15/17,track,reissue,bonus_track,same_master,1970-07,Invictus,Classic P-Funk (1970–1981),"Funk, Soul, P-Funk, Proto-Funk",,,https://open.spotify.com/track/0ULlWv0nqBrhbzPWQFnlmz,,237,,,wrk_e09f128f0268,ver_2dcf2731ca52,Bonus track from expanded edition
Parliament,‘Unfinished Instrumental’,Osmium…plus,16/17,track,reissue,bonus_track,remix_or_edit,1970-07,Invictus,Classic P-Funk (1970–1981),"Funk, Soul, P-Funk, Proto-Funk",,,https://open.spotify.com/track/7IddaVewlmeZqKctFXY8cP,,,,,wrk_d1492e5b75cf,ver_2c2a1b2039de,Bonus track from expanded edition
Parliament,Breakdown (Stereo Unedited Version),Osmium…plus,17/17,track,reissue,bonus_track,remix_or_edit,1970-07,Invictus,Classic P-Funk (1970–1981),"Funk, Soul, P-Funk, Proto-Funk",,,https://open.spotify.com/track/1KR7uXWWRtTAIZTtAx9nrS,,,,,wrk_0b0e872d42a6,ver_16688093401b,Bonus track from expanded edition
Funkadelic,Free Your Mind...And Your Ass Will Follow,Free Your Mind...And Your Ass Will Follow,,album,original,standard,same_master,1970-10,Westbound (2001),Classic P-Funk (1970–1981),"Psychedelic Rock, Funk, P-Funk","US: #92, R&B: #11",,https://open.spotify.com/album/39tcrpcvpiMd0PoxyLJt3Z,https://www.youtube.com/watch?v=TMJLe17XMnA,,,,wrk_3705ca4c4770,ver_4d374a25aae2,LP
Funkadelic,Free Your Mind and Your Ass Will Follow,Free Your Mind...And Your Ass Will Follow,1/7,track,original,standard,same_master,1970-10,Westbound (2001),Classic P-Funk (1970–1981),"Psychedelic Rock, Funk, P-Funk",,,https://open.spotify.com/track/0EHK2aemZUbYHGJLDeMk4d,,,,,wrk_119c77e9d456,ver_0ef4ecad0fd9,
Funkadelic,"Friday Night, August 14th",Free Your Mind...And Your Ass Will Follow,2/7,track,original,standard,same_master,1970-10,Westbound (2001),Classic P-Funk (1970–1981),"Psychedelic Rock, Funk, P-Funk",,,https://open.spotify.com/track/43RVI6jjTk1hs6FxiBqaXq,,,,,wrk_87846f5a1f8d,ver_b6bbad82c7b7,
Funkadelic,Funky Dollar Bill,Free Your Mind...And Your Ass Will Follow,3/7,track,original,standard,same_master,1970-10,Westbound (2001),Classic P-Funk (1970–1981),"Psychedelic Rock, Funk, P-Funk",,,https://open.spotify.com/track/6f9CtBSBVs0HPlI2182YFP,,195,,,wrk_31ee52b0f734,ver_411a1a864042,
Funkadelic,I Wanna Know If It's Good to You?,Free Your Mind...And Your Ass Will Follow,4/7,track,original,standard,same_master,1970-10,Westbound (2001),Classic P-Funk (1970–1981),"Psychedelic Rock, Funk, P-Funk",,,https://open.spotify.com/track/6m29fPL6H5aC38uaIRoEIA,,357,,,wrk_fae521594870,ver_b089ec40b0da,
