work_id,artist_id,artist_name,work_name
wrk_66cc4d4c406e,art_8b0eaa82feb2,Bootsy Collins,Garry Shider Tribute (feat. George Clinton and Linda Shider)
wrk_928eb5308fb0,art_8b0eaa82feb2,Bootsy Collins,Good-N-Nasty (Personal Stash)
wrk_53efa66abf2b,art_8b0eaa82feb2,Bootsy Collins,Groove Eternal
wrk_dc6f09869e04,art_8b0eaa82feb2,Bootsy Collins,Heaven Yes
wrk_87ea48349b14,art_8b0eaa82feb2,Bootsy Collins,Hi-On-Heels (feat. October London)
wrk_e13887997c91,art_8b0eaa82feb2,Bootsy Collins,"Hip Hop @ Funk U (feat. Ice Cube, Snoop Dogg and Chuck D)"
wrk_703b01af22c1,art_8b0eaa82feb2,Bootsy Collins,Hip Hop Lollipop
wrk_8ee66d6f3b60,art_8b0eaa82feb2,Bootsy Collins,Hip Hop Lollipop (feat. Fantaazma)
wrk_0ada6f343f94,art_8b0eaa82feb2,Bootsy Collins,Hollywood Squares
wrk_68748d65b34a,art_8b0eaa82feb2,Bootsy Collins,Hollywood-If-She-Could
wrk_9e788c808afb,art_8b0eaa82feb2,Bootsy Collins,Home-Of-Da-Freaks
wrk_90f3bfae8ea7,art_8b0eaa82feb2,Bootsy Collins,Hot Saucer (feat. Musiq Soulchild & Big Daddy Kane)
wrk_26f3a210d5fb,art_8b0eaa82feb2,Bootsy Collins,Hundo P
wrk_9c615e855f8e,art_8b0eaa82feb2,Bootsy Collins,I'd Rather Be With You / Jam
wrk_d90c27f96dd8,art_8b0eaa82feb2,Bootsy Collins,I'm Busy (Off Da Hook)
wrk_57b37f8f2490,art_8b0eaa82feb2,Bootsy Collins,I'm Leavin' U (Gotta Go Gotta Go)
wrk_153d13581406,art_8b0eaa82feb2,Bootsy Collins,I'm Leavin' U (Gotta Go Gotta Go) C&J Fulltime Mix
wrk_42680ea7d391,art_8b0eaa82feb2,Bootsy Collins,"I'm Tired of Good, I'm Trying Bad"
wrk_c417ca09aab7,art_8b0eaa82feb2,Bootsy Collins,I. Am. AI.
wrk_09e31d2308a2,art_8b0eaa82feb2,Bootsy Collins,"If Looks Could Kill (feat. Béla Fleck, Zionplanet-10 and Dennis Chambers)"
wrk_ec97af3b3308,art_8b0eaa82feb2,Bootsy Collins,Illusions (feat. Chuck D & Buckethead)
wrk_e553400f795b,art_8b0eaa82feb2,Bootsy Collins,Inner-Planetary-Funkmanship
wrk_be2b9d355b64,art_8b0eaa82feb2,Bootsy Collins,Is That My Song?
wrk_553f5535c9f6,art_8b0eaa82feb2,Bootsy Collins,It's a Musical
wrk_b63f6741e6d7,art_8b0eaa82feb2,Bootsy Collins,Jam Fan (Hot)
wrk_1660b9f608da,art_8b0eaa82feb2,Bootsy Collins,Jam On (feat. Snoop Dogg & Brandon Taz Niederauer)
wrk_10b69493b550,art_8b0eaa82feb2,Bootsy Collins,Jazz Greats (A Tribute to Jazz) (feat. George Duke and Ron Carter)
wrk_6310b8d5f084,art_8b0eaa82feb2,Bootsy Collins,"Jazz-n-yo-Shiggy ""Dance Mix"""
wrk_7553e7e936c8,art_8b0eaa82feb2,Bootsy Collins,JB–Still the Man (feat. Rev. Al Sharpton)
wrk_a0ab2fbc98b1,art_8b0eaa82feb2,Bootsy Collins,Kool Whip (feat. Phil Ade and iCandice)
wrk_4d8d8ef73f70,art_8b0eaa82feb2,Bootsy Collins,Ladies Nite (feat. MC Eiht & BlvckSeeds)
wrk_c836b2a3e8c9,art_8b0eaa82feb2,Bootsy Collins,Leakin'
wrk_a22902f80b8f,art_8b0eaa82feb2,Bootsy Collins,Lips Turn Blue (feat. Emmaline)
wrk_2cf4be9f5bde,art_8b0eaa82feb2,Bootsy Collins,Live in Baltimore 1978
wrk_e12647e15938,art_8b0eaa82feb2,Bootsy Collins,Love Gangsta
wrk_547d5cfc3c3a,art_8b0eaa82feb2,Bootsy Collins,Love Song
wrk_4a3075d319cb,art_8b0eaa82feb2,Bootsy Collins,Medley
wrk_4fed63df27a4,art_8b0eaa82feb2,Bootsy Collins,Minds Under Construction (feat. Buckethead and Z-Class)
wrk_ba3775182ffd,art_8b0eaa82feb2,Bootsy Collins,Mirrors Tell Lies (feat. Jimi Hendrix)
wrk_12822927e190,art_8b0eaa82feb2,Bootsy Collins,Mug Push
wrk_d3ff2df6c046,art_8b0eaa82feb2,Bootsy Collins,Oh Boy Gorl
wrk_12daa309243a,art_8b0eaa82feb2,Bootsy Collins,Party Lick-A-Ble's
wrk_6597ee63f912,art_8b0eaa82feb2,Bootsy Collins,Party On Plastic (What's Bootsy Doin'?)
wrk_63d46d37bf6e,art_8b0eaa82feb2,Bootsy Collins,Pearl Drops
wrk_9044e39ef3cf,art_8b0eaa82feb2,Bootsy Collins,Penetration (In Funk We Thrust)
wrk_becdf8061c21,art_8b0eaa82feb2,Bootsy Collins,Play With Bootsy
wrk_2ead4e1d1865,art_8b0eaa82feb2,Bootsy Collins,Play with Bootsy [Alex Gopher Remix]
wrk_895dad6f6502,art_8b0eaa82feb2,Bootsy Collins,Pressin' On
wrk_a0a94b4d8140,art_8b0eaa82feb2,Bootsy Collins,Pure Perfection
wrk_72b887564600,art_8b0eaa82feb2,Bootsy Collins,Pure Perfection (feat. Fantaazma)
wrk_9baf4560fea2,art_8b0eaa82feb2,Bootsy Collins,Pusherman (feat. Dru Down & Mr. Talkbox)
wrk_d078d85f7a79,art_8b0eaa82feb2,Bootsy Collins,Reach The Zone
wrk_b8779ffe6cc7,art_8b0eaa82feb2,Bootsy Collins,Reprise
wrk_68bdf359c778,art_8b0eaa82feb2,Bootsy Collins,Reprise: We Want Bootsy
wrk_1b3a0e5e9877,art_8b0eaa82feb2,Bootsy Collins,Roto-Rooter
wrk_33eaa7d97ed3,art_8b0eaa82feb2,Bootsy Collins,Sacred Flower
wrk_48f218eae3b1,art_8b0eaa82feb2,Bootsy Collins,Satellite (feat. ColdGameKelv & David A. Stewart)
wrk_3f80a596b16a,art_8b0eaa82feb2,Bootsy Collins,Save What's Mine For Me
wrk_c3df74919e5d,art_8b0eaa82feb2,Bootsy Collins,She Jam (Almost Bootsy Show)
wrk_dcf5b6920ddf,art_8b0eaa82feb2,Bootsy Collins,Shiggy Wiggy
wrk_2a07ca187efe,art_8b0eaa82feb2,Bootsy Collins,Shock-It-To-Me
wrk_9a90776314c9,art_8b0eaa82feb2,Bootsy Collins,Siento Bombo (feat. Olvido Ruiz and Ouiwey)
wrk_9d68df752f6a,art_8b0eaa82feb2,Bootsy Collins,Slide Eazy (feat. Ellis Hall & Rod Castro)
wrk_eef2a83dad59,art_8b0eaa82feb2,Bootsy Collins,Snow Bunny (feat. Tyshawn Colquitt)
wrk_62ff31a0eb6b,art_8b0eaa82feb2,Bootsy Collins,Soul Not 4 Sale (feat. Hollywood Anderson)
wrk_02a82ea27a66,art_8b0eaa82feb2,Bootsy Collins,Soul Sista
wrk_2888d5d88fac,art_8b0eaa82feb2,Bootsy Collins,Sound Crack
wrk_4f836b71b64d,art_8b0eaa82feb2,Bootsy Collins,Spreading Hope Like Dope (Intro)
wrk_155214edc4e2,art_8b0eaa82feb2,Bootsy Collins,Stargate (feat. Ellis Hall & Victor Wooten & Dr. Cornel West)
wrk_de2db1e78ad0,art_8b0eaa82feb2,Bootsy Collins,Stars Have No Names (They Just Shine) (feat. Nick Arnold and Chrissy Dunn)
wrk_278cc2fae3e1,art_8b0eaa82feb2,Bootsy Collins,Stolen Dreams (feat. Rod Castro & Henry Invisible)
wrk_8b09b2577061,art_8b0eaa82feb2,Bootsy Collins,Stretchin' Out (In A Rubber Band / Jam
wrk_5245f98a5e35,art_8b0eaa82feb2,Bootsy Collins,Subliminal Seduction
wrk_e7f64285c932,art_8b0eaa82feb2,Bootsy Collins,Subliminal Seduction (Funk Me Dirty)
wrk_dbfd2633f020,art_8b0eaa82feb2,Bootsy Collins,Tha Funk Capital of the World
wrk_22d03969c5d4,art_8b0eaa82feb2,Bootsy Collins,The Bomb
wrk_13c401752805,art_8b0eaa82feb2,Bootsy Collins,The Influencers
wrk_83e0561f7353,art_8b0eaa82feb2,Bootsy Collins,The Influencers (feat. Snoop Dogg & Wiz Khalifa)
wrk_2fc7304cae05,art_8b0eaa82feb2,Bootsy Collins,The JB's Tribute Pastor P
wrk_8c721709d69c,art_8b0eaa82feb2,Bootsy Collins,The Mothership
wrk_dfb108a477fc,art_8b0eaa82feb2,Bootsy Collins,The Power of the One (feat. George Benson & Williams Singers)
wrk_08906dfcd43a,art_8b0eaa82feb2,Bootsy Collins,The Real Deal (feat. Sheila E. and iCandice)
